t,base_mse,session_no_update_mse,adaptive_mse,did_update,update_ok
0,0.009757068008184433,0.009757068008184433,0.009757068008184433,0,0
1,0.3129963278770447,0.3129963278770447,0.3129963278770447,0,0
2,0.37242355942726135,0.37242355942726135,0.37242355942726135,0,0
3,0.29675522446632385,0.29675522446632385,0.29675522446632385,0,0
4,0.6901689767837524,0.6901689767837524,0.6901689767837524,0,0
5,0.8325711488723755,0.8325711488723755,0.8325711488723755,0,0
6,1.138972282409668,1.138972282409668,1.138972282409668,0,0
7,2.7741141319274902,2.7741141319274902,2.7741141319274902,0,0
8,4.924966335296631,4.924966335296631,4.924966335296631,0,0
9,7.234189987182617,7.234189987182617,7.234189987182617,0,0
10,12.58676528930664,12.58676528930664,12.58676528930664,0,0
11,14.792739868164062,14.792739868164062,14.792739868164062,0,0
12,16.576322555541992,16.576322555541992,16.576322555541992,0,0
13,19.731111526489258,19.731111526489258,19.731111526489258,0,0
14,20.23720932006836,20.23720932006836,20.23720932006836,0,0
15,21.201520919799805,21.201520919799805,21.201520919799805,0,0
16,25.324934005737305,25.324934005737305,25.324934005737305,0,0
17,30.308063507080078,30.308063507080078,30.308063507080078,0,0
18,30.86631965637207,30.86631965637207,30.86631965637207,0,0
19,35.968318939208984,35.968318939208984,35.968318939208984,0,0
20,39.72170639038086,39.72170639038086,39.72170639038086,0,0
21,44.448768615722656,44.448768615722656,44.448768615722656,0,0
22,51.97003173828125,51.97003173828125,51.97003173828125,0,0
23,60.77244567871094,60.77244567871094,60.77244567871094,0,0
24,70.9428482055664,70.9428482055664,70.9428482055664,0,0
25,75.9334487915039,75.9334487915039,75.9334487915039,0,0
26,89.818359375,89.818359375,89.818359375,0,0
27,93.83354187011719,93.83354187011719,93.83354187011719,0,0
28,99.25289154052734,99.25289154052734,99.25289154052734,0,0
29,104.50503540039062,104.50503540039062,104.50503540039062,0,0
30,108.26776885986328,108.26776885986328,108.26776885986328,0,0
31,107.93451690673828,107.93451690673828,107.93451690673828,1,1
32,99.52745056152344,99.52745056152344,99.38775634765625,0,0
33,84.69496154785156,84.69496154785156,84.5336685180664,0,0
34,69.21446228027344,69.21446228027344,69.06580352783203,0,0
35,61.45439529418945,61.45439529418945,61.322357177734375,0,0
36,52.88017654418945,52.88017654418945,52.77152633666992,0,0
37,46.93869400024414,46.93869400024414,46.854026794433594,0,0
38,44.29170608520508,44.29170608520508,44.22491455078125,0,0
39,43.8116569519043,43.8116569519043,43.756717681884766,0,0
40,43.647865295410156,43.647865295410156,43.60221481323242,0,0
41,55.15989685058594,55.15989685058594,55.116790771484375,0,0
42,61.625038146972656,61.625038146972656,61.58397674560547,0,0
43,67.44435119628906,67.44435119628906,67.40506744384766,0,0
44,79.23555755615234,79.23555755615234,79.19507598876953,0,0
45,99.59986114501953,99.59986114501953,99.55692291259766,0,0
46,121.1882095336914,121.1882095336914,121.1370849609375,0,0
47,149.77101135253906,149.77101135253906,149.70970153808594,0,0
48,178.76963806152344,178.76963806152344,178.69692993164062,0,0
49,203.2027587890625,203.2027587890625,203.11978149414062,0,0
50,219.6434326171875,219.6434326171875,219.55101013183594,0,0
51,247.1637725830078,247.1637725830078,247.05833435058594,0,0
